Class,Rule,Severity,Type,Line,Effort,Message
SelectImpl,java:S3776,CRITICAL,CODE_SMELL,3098,10min,"Refactor this method to reduce its Cognitive Complexity from 20 to the 15 allowed."
SelectImpl,java:S3776,CRITICAL,CODE_SMELL,2612,22min,"Refactor this method to reduce its Cognitive Complexity from 32 to the 15 allowed."
SelectImpl,java:S5411,MINOR,CODE_SMELL,2648,5min,"Use a primitive boolean expression here."
SelectImpl,java:S3776,CRITICAL,CODE_SMELL,1472,20min,"Refactor this method to reduce its Cognitive Complexity from 30 to the 15 allowed."
SelectImpl,java:S135,MINOR,CODE_SMELL,3113,20min,"Reduce the total number of break and continue statements in this loop to use at most one."
SelectImpl,java:S116,MINOR,CODE_SMELL,2474,2min,"Rename this field ""cachedColumnAlias_"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
SelectImpl,java:S1854,MAJOR,CODE_SMELL,2614,1min,"Remove this useless assignment to local variable ""orig""."
SelectImpl,java:S1481,MINOR,CODE_SMELL,2614,5min,"Remove this unused ""orig"" local variable."
SelectImpl,java:S116,MINOR,CODE_SMELL,121,2min,"Rename this field ""_aliases"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
SelectImpl,java:S116,MINOR,CODE_SMELL,124,2min,"Rename this field ""_tables"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
SelectImpl,java:S116,MINOR,CODE_SMELL,128,2min,"Rename this field ""_ordered"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
SelectImpl,java:S116,MINOR,CODE_SMELL,129,2min,"Rename this field ""_grouped"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
SelectImpl,java:S116,MINOR,CODE_SMELL,151,2min,"Rename this field ""_preJoins"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
SelectImpl,java:S116,MINOR,CODE_SMELL,155,2min,"Rename this field ""_eager"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
SelectImpl,java:S116,MINOR,CODE_SMELL,156,2min,"Rename this field ""_eagerKeys"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
